Date,Close,DayNumber,Month_Number,Year,FFT_Mag_Close_900,FFT_Angl_Close_900
2006-04-11,68.98000335693361,1,400,2006,69.2007172897792,-0.0002909547912567575
2006-04-12,68.62000274658203,2,400,2006,69.32396294492148,-1.1059441181683226e-05
2006-04-13,69.31999969482422,3,400,2006,69.26617252695317,0.0002790385520482177
2006-04-17,70.4000015258789,0,400,2006,69.61381627934281,0.00030302207387707396
2006-04-18,71.3499984741211,1,400,2006,70.73347296436856,4.0403627174146004e-05
2006-04-19,72.16999816894531,2,400,2006,72.37557699197974,-0.0002499294024453309
2006-04-20,71.94999694824219,3,400,2006,73.76533152443686,-0.00029664984415258286
2006-04-21,75.16999816894531,4,400,2006,74.15816067500747,-6.642224297736031e-05
2006-04-24,73.33000183105469,0,400,2006,73.43231955912972,0.0002274461047065643
2006-04-25,72.87999725341797,1,400,2006,72.22738066628511,0.00031140126953809843
2006-04-26,71.93000030517578,2,400,2006,71.48666666461115,9.726824091506e-05
2006-04-27,70.97000122070312,3,400,2006,71.74522550060433,-0.0002115623853046078
2006-04-28,71.87999725341797,4,400,2006,72.72240080861643,-0.00031513286911667336
2006-05-01,73.69999694824219,0,500,2006,73.54437062336329,-0.0001213447170165505
2006-05-02,74.61000061035156,1,500,2006,73.42430784893598,0.0001842893016355037
2006-05-03,72.27999877929688,2,500,2006,72.26991065146288,0.0003204038967308899
2006-05-04,69.94000244140625,3,500,2006,70.75455892211367,0.0001529536767797213
2006-05-05,70.19000244140625,4,500,2006,69.8145874843418,-0.00016863982023203282
2006-05-08,69.76999664306639,0,500,2006,69.97196436022638,-0.0003316296476069555
2006-05-09,70.69000244140625,1,500,2006,70.9887083264991,-0.000177939959865192
2006-05-10,72.12999725341797,2,500,2006,72.07648241751275,0.00013762551734982007
2006-05-11,73.31999969482422,3,500,2006,72.46084772293776,0.00031830247867490355
2006-05-12,72.04000091552734,4,500,2006,71.86977306808618,0.00019950132596836633
2006-05-15,69.41000366210939,0,500,2006,70.629058697896,-0.0001130496150075218
